epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6568,2.37149,13.0663,0.00197,0.24553,0.20142,0.19105,0.09094,2.39785,3.77502,0.00262,0.000468772,0.000468772,0.000468772
2,59.3583,2.31798,2.72827,0.00178,0.80533,0.27683,0.33611,0.15658,2.29548,1.92728,0.00255,0.000935749,0.000935749,0.000935749
3,70.9549,2.38404,1.97542,0.00181,0.44546,0.31802,0.35493,0.15621,2.26415,1.85308,0.00246,0.00139329,0.00139329,0.00139329
4,81.5748,2.30463,1.73996,0.00183,0.37254,0.35726,0.40473,0.1894,2.24135,1.55311,0.00244,0.00138656,0.00138656,0.00138656
5,92.278,2.40031,1.61353,0.00181,0.59344,0.3782,0.44671,0.19604,2.26724,1.50765,0.00249,0.00137241,0.00137241,0.00137241
6,102.931,2.24955,1.51421,0.00168,0.77276,0.38115,0.43985,0.18805,2.16166,1.49284,0.00239,0.00135826,0.00135826,0.00135826
7,113.565,2.21723,1.43731,0.00162,0.55578,0.43519,0.46164,0.20875,2.30597,1.32464,0.00252,0.00134412,0.00134412,0.00134412
8,124.227,2.2852,1.37339,0.00176,0.58491,0.37419,0.44431,0.20722,2.25169,1.40639,0.00242,0.00132997,0.00132997,0.00132997
9,134.934,2.24523,1.36178,0.00173,0.55273,0.45038,0.44971,0.20472,2.29024,1.26022,0.00245,0.00131582,0.00131582,0.00131582
10,145.721,2.15887,1.31521,0.00161,0.62303,0.45764,0.47752,0.22573,2.14649,1.31406,0.00229,0.00130168,0.00130168,0.00130168
11,156.335,2.18261,1.32385,0.00156,0.78561,0.38571,0.46539,0.22155,2.20222,1.21906,0.00231,0.00128753,0.00128753,0.00128753
12,166.918,2.10338,1.24555,0.00155,0.68359,0.43083,0.47969,0.2259,2.13854,1.19151,0.00232,0.00127338,0.00127338,0.00127338
13,177.609,2.11159,1.26842,0.00152,0.49706,0.52545,0.47423,0.23046,2.13331,1.21614,0.00225,0.00125923,0.00125923,0.00125923
14,188.225,2.09702,1.21941,0.00153,0.84431,0.38835,0.44649,0.21423,2.19665,1.15025,0.00225,0.00124509,0.00124509,0.00124509
15,198.928,2.10216,1.23887,0.0015,0.6363,0.48443,0.49367,0.25804,2.08756,1.19041,0.0022,0.00123094,0.00123094,0.00123094
16,209.53,2.11505,1.22554,0.00153,0.69872,0.46256,0.50107,0.23932,2.14685,1.20527,0.00231,0.00121679,0.00121679,0.00121679
17,220.091,2.16299,1.30422,0.00155,0.46695,0.46504,0.4651,0.22588,2.1454,1.2248,0.00225,0.00120265,0.00120265,0.00120265
