epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,447.164,1.98625,1.01885,0.00137,0.85276,0.53333,0.60027,0.2866,2.05299,0.92326,0.0021,0.000848969,0.000848969,0.000848969
43,455.714,2.03002,1.07776,0.00142,0.70141,0.56504,0.56283,0.26104,2.04424,0.96754,0.00212,0.000834822,0.000834822,0.000834822
44,464.351,2.0206,1.04624,0.00138,0.87515,0.51554,0.56856,0.26942,2.04202,0.97763,0.00214,0.000820675,0.000820675,0.000820675
45,475.968,1.97458,1.02439,0.0014,0.86474,0.52994,0.56258,0.26695,2.04423,0.9384,0.00209,0.000806528,0.000806528,0.000806528
46,484.515,1.94958,1.01284,0.00135,0.69676,0.56429,0.56662,0.28992,1.97357,0.97118,0.00203,0.00079238,0.00079238,0.00079238
47,493.062,1.96652,1.04651,0.00134,0.91648,0.53185,0.605,0.27461,1.97743,0.95627,0.00207,0.000778233,0.000778233,0.000778233
48,501.653,1.92049,1.01173,0.00136,0.71082,0.51453,0.54098,0.25826,1.97941,0.97366,0.00204,0.000764086,0.000764086,0.000764086
49,511.141,1.9107,1.00987,0.00131,0.72532,0.5396,0.55413,0.26938,2.01905,0.96467,0.0021,0.000749939,0.000749939,0.000749939
50,519.75,1.91552,1.00466,0.00133,0.76753,0.49398,0.55598,0.27577,1.97475,0.90292,0.002,0.000735792,0.000735792,0.000735792
51,528.331,1.89255,0.94552,0.00131,0.74528,0.5396,0.56519,0.27453,1.96026,0.95843,0.00204,0.000721645,0.000721645,0.000721645
52,541.541,1.86071,0.94855,0.0013,0.65516,0.56203,0.56708,0.28005,1.9983,0.95887,0.00203,0.000707498,0.000707498,0.000707498
53,550.283,1.84631,0.92599,0.00128,0.69982,0.56388,0.58248,0.28036,1.96215,0.94159,0.00202,0.000693351,0.000693351,0.000693351
54,562.332,1.93028,0.95478,0.00131,0.73013,0.54724,0.57217,0.2824,1.97299,0.93246,0.002,0.000679204,0.000679204,0.000679204
55,571.296,1.90183,0.96223,0.00129,0.86414,0.52905,0.58552,0.28907,1.93954,0.91654,0.00198,0.000665057,0.000665057,0.000665057
