epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,277.265,2.13648,1.32651,0.00157,0.66356,0.40426,0.42586,0.21232,2.20427,1.34879,0.00241,0.000848969,0.000848969,0.000848969
43,286.382,2.22022,1.40658,0.00169,0.64674,0.38033,0.41428,0.20193,2.26434,1.42681,0.00248,0.000834822,0.000834822,0.000834822
44,295.696,2.14408,1.36241,0.00154,0.62001,0.40489,0.41775,0.20436,2.25829,1.38201,0.0024,0.000820675,0.000820675,0.000820675
45,303.502,2.07995,1.29866,0.00155,0.66887,0.35865,0.41008,0.2076,2.19962,1.33004,0.00239,0.000806528,0.000806528,0.000806528
46,309.569,2.16354,1.30771,0.00158,0.55364,0.42815,0.43677,0.21416,2.21422,1.30246,0.00241,0.00079238,0.00079238,0.00079238
47,315.682,2.14985,1.36011,0.00157,0.42955,0.44408,0.4375,0.20213,2.2688,1.30144,0.00246,0.000778233,0.000778233,0.000778233
48,321.695,2.08543,1.30653,0.00155,0.80401,0.32765,0.42148,0.20138,2.20651,1.36003,0.00235,0.000764086,0.000764086,0.000764086
49,327.824,2.0802,1.26843,0.00153,0.40819,0.4273,0.40089,0.19702,2.23074,1.29755,0.00238,0.000749939,0.000749939,0.000749939
50,334.095,2.10078,1.29829,0.00156,0.52277,0.44035,0.41581,0.20902,2.25371,1.40178,0.00242,0.000735792,0.000735792,0.000735792
51,340.225,2.09169,1.2722,0.00154,0.54737,0.39186,0.39909,0.19672,2.19593,1.41131,0.00233,0.000721645,0.000721645,0.000721645
52,346.293,2.06978,1.28039,0.00152,0.53802,0.42744,0.39854,0.19623,2.22202,1.36529,0.00235,0.000707498,0.000707498,0.000707498
53,352.417,2.03616,1.26104,0.00151,0.79038,0.37717,0.42152,0.19549,2.16573,1.38504,0.00231,0.000693351,0.000693351,0.000693351
54,358.543,2.09953,1.2602,0.0015,0.81726,0.3614,0.42584,0.19923,2.18785,1.3352,0.00237,0.000679204,0.000679204,0.000679204
55,364.66,2.06585,1.28248,0.00147,0.6255,0.45514,0.4398,0.20709,2.17889,1.3158,0.00232,0.000665057,0.000665057,0.000665057
56,370.905,2.05399,1.23407,0.00149,0.54261,0.45042,0.45577,0.21748,2.1442,1.33615,0.00232,0.000650909,0.000650909,0.000650909
57,377.012,2.05857,1.27246,0.00149,0.50786,0.42955,0.4375,0.20908,2.186,1.317,0.00237,0.000636762,0.000636762,0.000636762
58,383.15,2.01183,1.2037,0.00154,0.79798,0.37845,0.40906,0.20239,2.17108,1.34245,0.00233,0.000622615,0.000622615,0.000622615
59,389.243,2.10376,1.30306,0.00155,0.502,0.46942,0.42083,0.20044,2.15962,1.35299,0.00234,0.000608468,0.000608468,0.000608468
60,395.33,2.08428,1.2616,0.00148,0.83641,0.3499,0.40791,0.19752,2.19018,1.37647,0.00242,0.000594321,0.000594321,0.000594321
61,401.449,2.09713,1.26004,0.00151,0.81124,0.35566,0.40165,0.19294,2.17922,1.35846,0.00231,0.000580174,0.000580174,0.000580174
